Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand,filename
"https://www.thredup.com/product/women-polyester-anne-klein-green-blazer/60066682?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/178064840/retina.jpg,Outerwear,"['Dry clean only', 'Classic', 'Jacket', 'Striped print', 'Green and Brown']","69% Polyester, 29% Viscose, 2% Spandex",Size 2 ,Detailed measurements are not available for this item.,6.99,Anne Klein,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-linen-ann-taylor-loft-tan-jacket/60055714?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/178028492/retina.jpg,Outerwear,"['Boho', 'Jacket', 'Solid', 'Tan and Gray']","53% Linen, 47% Cotton",Size XS ,Detailed measurements are not available for this item.,6.99,Ann Taylor LOFT,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-cotton-ann-taylor-ivory-blazer/59048048?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/174729982/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Solid', 'Ivory and Tan']","98% Cotton, 2% Spandex",Size 2 ,Detailed measurements are not available for this item.,6.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-cotton-ann-taylor-tan-jacket/58910515?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/174295508/retina.jpg,Outerwear,"['Jacket', 'Solid', 'Tan']","54% Cotton, 46% Polyester",Size XS ,Detailed measurements are not available for this item.,6.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-linen-banana-republic-pink-blazer/58842555?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/174200607/retina.jpg,Outerwear,"['Dry clean only', 'Jacket', 'Solid', 'Pink']","52% Linen, 48% Rayon",Size 0 ,Detailed measurements are not available for this item.,6.99,Banana Republic,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-anne-klein-grey-blazer/58751135?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/173769412/retina.jpg,Outerwear,"['Dry clean only', 'Classic', 'Jacket', 'Solid', 'Grey and Gray']","51% Polyester, 44% Wool, 5% Spandex",Size 2 ,Detailed measurements are not available for this item.,6.99,Anne Klein,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-tahari-by-asl-blue-blazer/58701394?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/173669150/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Solid', 'Blue']",No Fabric Content,Size 2 ,Detailed measurements are not available for this item.,6.99,Tahari by ASL,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-rayon-talbots-tan-blazer/58214955?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/172123014/retina.jpg,Outerwear,"['Work', 'Jacket', 'Striped print', 'Tan']","60% Rayon, 40% Linen",Size 2 ,Detailed measurements are not available for this item.,6.99,Talbots,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-anne-klein-grey-blazer/56625432?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/166928696/retina.jpg,Outerwear,"['Dry clean only', 'Classic', 'Jacket', 'Solid', 'Grey and Gray']","58% Polyester, 20% Wool, 20% Viscose, 2% Spandex",Size 2 ,Detailed measurements are not available for this item.,6.99,Anne Klein,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-wool-jcrew-grey-wool-blazer/55853769?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/164363650/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Solid', 'Grey and Gray']",100% Wool,Size 2 ,Detailed measurements are not available for this item.,6.99,J.Crew,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-lyocell-ann-taylor-blue-blazer/55810773?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/164262470/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Solid', 'Blue']","63% Lyocell, 33% Cotton, 4% Spandex",Size 0 ,Detailed measurements are not available for this item.,6.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-cotton-talbots-grey-jacket/55246739?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/162368525/retina.jpg,Outerwear,"['Jacket', 'Solid', 'Grey and Black']","98% Cotton, 2% Spandex",Size 2 ,Detailed measurements are not available for this item.,6.99,Talbots,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-ann-taylor-tan-blazer/55164945?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/162095614/retina.jpg,Outerwear,"['Dry clean only', 'Classic', 'Jacket', 'Solid', 'Tan']","48% Polyester, 48% Rayon, 4% Spandex",Size 2 ,Detailed measurements are not available for this item.,6.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-cotton-ann-taylor-black-jacket/54727970?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/160618507/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Solid', 'Black']","53% Cotton, 41% Polyester, 6% Spandex",Size 0 ,Detailed measurements are not available for this item.,6.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-jessica-howard-black-faux-leather-jacket/53993616?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/158436060/retina.jpg,Outerwear,"['Jacket', 'Solid', 'Black']",100% Polyester,Size 2 ,Detailed measurements are not available for this item.,6.99,Jessica Howard,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-jjill-brown-blazer/53859861?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/158006756/retina.jpg,Outerwear,"['Dry clean only', 'Boho', 'Jacket', 'Solid', 'Brown and Purple']","57% Polyester, 37% Rayon, 3% Wool, 3% Lycra",Size 2 ,Detailed measurements are not available for this item.,6.99,J.jill,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-banana-republic-factory-store-gray-blazer/77692408?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/232522903/retina.jpg,Outerwear,"['Dry clean only', 'Work', 'Jacket', 'Gray']","64% Polyester, 33% Rayon, 3% Spandex",Size 0 ,Detailed measurements are not available for this item.,7.99,Banana Republic Factory Store,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
