Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-cotton-jcrew-blue-khakis/57511403?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/169756642/retina.jpg,Pants,"['Dry clean only', 'Boyfriend', 'Boyfriend', 'Solid', 'Cropped top', 'Mid rise waist', 'Blue']","95% Cotton, 5% Spandex",Size 2 ,"22"" Inseam, 8.5"" Rise, 27"" Waist",6.99,J.Crew
"https://www.thredup.com/product/women-polyester-banana-republic-factory-store-black-dress-pants/57331622?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/169238151/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Super low rise waist', 'Black and Gray']","69% Polyester, 29% Rayon, 2% Spandex",Size 2 ,"29"" Inseam, 6"" Rise, 34"" Waist",6.99,Banana Republic Factory Store
"https://www.thredup.com/product/women-charter-club-black-casual-pants/57167006?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/129878108/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Super low rise waist', 'Black']",No Fabric Content,Size 2 ,"25"" Inseam, 6"" Rise, 24"" Waist",6.99,Charter Club
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-tan-khakis/57127878?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/158286353/retina.jpg,Pants,"['Boho', 'Boyfriend', 'Boyfriend', 'Mid rise waist', 'Tan']","62% Cotton, 34% Nylon, 4% Spandex",Size 2 ,"25"" Inseam, 9"" Rise, 30"" Waist",6.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-rayon-ann-taylor-loft-tan-dress-pants/56873757?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/163525963/retina.jpg,Pants,"['Dry clean only', 'Work', 'Boyfriend', 'Boyfriend', 'Super low rise waist', 'Tan']","51% Rayon, 47% Polyester, 2% Spandex",Size 2 ,"29.5"" Inseam, 6"" Rise, 29.5"" Waist",6.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-polyester-ann-taylor-loft-black-dress-pants/56756139?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/167399680/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black']","66% Polyester, 28% Viscose, 6% Spandex",Size 2 ,"28.5"" Inseam, 7.25"" Rise, 30.5"" Waist",6.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-viscose-1901-blue-velour-pants/56680568?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/167081953/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Cropped top', 'Mid rise waist', 'Blue']",100% Viscose,Size S ,"23.5"" Inseam, 9.5"" Rise, 28.5"" Waist",6.99,1901
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-grey-dress-pants/56405533?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/166153314/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Low rise waist', 'Grey and Gray']","98% Cotton, 2% Spandex",Size 2 ,"23"" Inseam, 6.25"" Rise, 31"" Waist",6.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-gap-gray-khakis/56177926?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/160966242/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Gray']","98% Cotton, 2% Spandex",Size 2 ,"26"" Inseam, 9"" Rise, 32"" Waist",6.99,Gap
"https://www.thredup.com/product/women-wool-banana-republic-brown-wool-pants/56174478?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/165447088/retina.jpg,Pants,"['Dry clean only', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Brown and Gray']","97% Wool, 3% Other",Size 2 ,"28.25"" Inseam, 7.25"" Rise, 29"" Waist",6.99,Banana Republic
"https://www.thredup.com/product/women-cotton-nydj-brown-dress-pants/55966448?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/164797021/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Brown and Gray']","55% Cotton, 39% Rayon, 6% Spandex",Size 2 ,"25"" Inseam, 9"" Rise, 26"" Waist",6.99,NYDJ
"https://www.thredup.com/product/women-modal-ann-taylor-loft-black-khakis/55822079?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/164289413/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black and Blue']","49% Modal, 46% Cotton, 5% Spandex",Size 2 ,"26.5"" Inseam, 8"" Rise, 30"" Waist",6.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-rayon-ann-taylor-black-dress-pants/55821160?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/164246681/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black']","93% Rayon, 7% Spandex",Size 2 ,"27"" Inseam, 7.5"" Rise, 26"" Waist",6.99,Ann Taylor
"https://www.thredup.com/product/women-viscose-banana-republic-black-dress-pants/55484126?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/163156523/retina.jpg,Pants,"['Dry clean only', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black and Green']","56% Viscose, 39% Cotton, 5% Spandex",Size 2 ,"24"" Inseam, 7"" Rise, 28"" Waist",6.99,Banana Republic
"https://www.thredup.com/product/women-polyester-ann-taylor-loft-brown-dress-pants/55306357?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/162566562/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Brown and Red']","62% Polyester, 33% Viscose, 5% Spandex",Size 2 ,"30"" Inseam, 7.5"" Rise, 30"" Waist",6.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-banana-republic-blue-khakis/55176521?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/162093508/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Blue']","97% Cotton, 3% Spandex",Size 2 ,"24"" Inseam, 8"" Rise, 30"" Waist",6.99,Banana Republic
"https://www.thredup.com/product/women-polyester-ann-taylor-factory-black-dress-pants/55165087?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/162092556/retina.jpg,Pants,"['Dry clean only', 'Classic', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Black and Blue']","60% Polyester, 40% Wool",Size 2 ,"29"" Inseam, 9"" Rise, 26"" Waist",6.99,Ann Taylor Factory
"https://www.thredup.com/product/women-banana-republic-black-dress-pants/55155354?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/162090728/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Black']",No Fabric Content,Size 2 ,"29"" Inseam, 9"" Rise, 26"" Waist",6.99,Banana Republic
"https://www.thredup.com/product/women-polyester-ann-taylor-black-dress-pants/55123209?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/161924263/retina.jpg,Pants,"['Dry clean only', 'Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Black']","58% Polyester, 42% Wool",Size 2 ,"29.25"" Inseam, 9"" Rise, 27"" Waist",6.99,Ann Taylor
"https://www.thredup.com/product/women-polyester-ann-taylor-factory-black-casual-pants/55092747?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/161830012/retina.jpg,Pants,"['Flared leg cut', 'Solid', 'Low rise waist', 'Black']","63% Polyester, 33% Rayon, 4% Spandex",Size 2 ,"29.5"" Inseam, 6.5"" Rise, 30"" Waist",6.99,Ann Taylor Factory
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-maroon-cords/54893085?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/161228535/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Maroon and Purple']","67% Cotton, 31% Polyester, 2% Spandex",Size 2 ,"28"" Inseam, 7.5"" Rise, 29.5"" Waist",6.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-tan-dress-pants/54693760?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/160690281/retina.jpg,Pants,"['Boho', 'Boyfriend', 'Boyfriend', 'Low rise waist', 'Tan']","99% Cotton, 1% Spandex",Size 2 ,"23"" Inseam, 7.75"" Rise, 30.5"" Waist",6.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-jcrew-black-dress-pants/54398867?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/159678387/retina.jpg,Pants,"['Dry clean only', 'Boyfriend', 'Boyfriend', 'Solid', 'Super low rise waist', 'Black']","95% Cotton, 5% Elastane",Size 2 ,"23.5"" Inseam, 6"" Rise, 26.5"" Waist",6.99,J.Crew
